grid_x,grid_y,lat,lon
1441,875,34.885536,129.12498
1442,875,34.885357,129.13055
1443,875,34.885178,129.13612
1444,875,34.885,129.14168
1445,875,34.88482,129.14725
1446,875,34.884636,129.15282
1447,875,34.884457,129.15837
1448,875,34.884277,129.16394
1449,875,34.884094,129.16951
1450,875,34.88391,129.17506
1451,875,34.88373,129.18063
1452,875,34.88355,129.1862
1453,875,34.883366,129.19176
1454,875,34.883183,129.19733
1455,875,34.883,129.2029
1456,875,34.882816,129.20845
1457,875,34.88263,129.21402
1458,875,34.882446,129.21959
1459,875,34.882263,129.22514
1460,875,34.882076,129.23071
1461,875,34.881893,129.23628
1462,875,34.881706,129.24184
1463,875,34.88152,129.2474
1464,875,34.881332,129.25298
1465,875,34.88115,129.25853
1466,875,34.880962,129.2641
1467,875,34.88077,129.26967
1468,875,34.880585,129.27522
1377,876,34.900932,128.76898
1378,876,34.900772,128.77455
1379,876,34.90061,128.78012
1380,876,34.900455,128.78568
1381,876,34.900295,128.79124
1382,876,34.900135,128.79681
1383,876,34.899975,128.80238
1384,876,34.899815,128.80795
1385,876,34.89965,128.8135
1386,876,34.89949,128.81908
1387,876,34.89933,128.82465
1388,876,34.899166,128.83022
1389,876,34.899006,128.83578
1390,876,34.89884,128.84135
1391,876,34.898678,128.84691
1392,876,34.898514,128.85248
1393,876,34.898354,128.85805
1394,876,34.89819,128.86362
1395,876,34.89802,128.86919
1396,876,34.897858,128.87474
1397,876,34.897694,128.88031
1398,876,34.89753,128.88588
1399,876,34.89736,128.89145
1400,876,34.897198,128.89702
1401,876,34.89703,128.90257
1402,876,34.896866,128.90814
1403,876,34.896698,128.91371
1404,876,34.89653,128.91928
1405,876,34.896362,128.92485
1406,876,34.896194,128.9304
1407,876,34.896027,128.93597
1408,876,34.89586,128.94154
1409,876,34.89569,128.94711
1410,876,34.895523,128.95267
1411,876,34.89535,128.95824
1412,876,34.895184,128.9638
1413,876,34.89501,128.96938
1414,876,34.89484,128.97495
1415,876,34.894672,128.9805
1416,876,34.8945,128.98607
1417,876,34.89433,128.99164
1418,876,34.894157,128.99721
1419,876,34.893986,129.00276
1420,876,34.893814,129.00833
1421,876,34.893642,129.0139
1422,876,34.893467,129.01947
1423,876,34.893295,129.02502
1424,876,34.89312,129.0306
1425,876,34.89295,129.03616
1426,876,34.892773,129.04173
1427,876,34.892597,129.04729
1428,876,34.892426,129.05286
1429,876,34.89225,129.05843
1430,876,34.892075,129.064
1431,876,34.8919,129.06955
1432,876,34.89172,129.07512
1433,876,34.891544,129.08069
1434,876,34.89137,129.08626
1435,876,34.89119,129.09181
1436,876,34.891014,129.09738
